s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.035	0.08264177160285713	0.00014863848822259956	0.040032500000000006	0.09778428571428571		-1.71479	0.08591142857142857	0.50	14000	10	8
0.005	0.002197057469962929	2.7911888926864684e-05	-0.002558228571428571	0.01765407142857143		-7.05313	0.0010449857142857144	0.50	14000	10	2
0.035	0.06461574495546714	0.0009305822010897207	0.0030068214285714286	0.09472142857142857		-1.41295	0.08346	0.50	14000	10	9
0.005	0.0037694688760884203	1.34701541485883e-05	-0.0009037214285714286	0.011756642857142856		-8.69515	0.00958992857142857	0.50	14000	10	7
0.005	0.0005496273381230629	1.1229040971129828e-05	-0.0036246571428571427	0.008507142857142857		-5.79976	0.004663814285714286	0.50	14000	10	9
0.035	0.07966952868428573	0.00015557507938919265	0.05589792857142857	0.10279214285714285		-1.57684	0.07741785714285714	0.50	14000	10	7
0.025	0.06518033140441247	0.0010945542167447979	-3.878571428571428e-05	0.09569214285714286		-3.9139800000000005	0.081295	0.50	14000	10	7
0.045	0.05815894072357114	0.001237789101125447	-0.00026029428571428567	0.09945714285714287		-0.07233289999999999	0.10546928571428571	0.50	14000	10	1
0.045	0.07889748836	5.8192389714204715e-05	0.06379507142857144	0.09362642857142857		-0.08334710000000001	0.09462214285714286	0.50	14000	10	5
0.025	0.0740257317457143	0.0002965253199321014	0.029031285714285718	0.09409357142857143		-3.86565	0.03838378571428572	0.50	14000	10	9
0.025	0.07169129028571428	0.00024791902493562066	0.041042714285714293	0.0959557142857143		-2.1076599999999996	0.06784107142857143	0.50	14000	10	1
0.015	0.022878069497148143	0.0005487889237869122	0.00340615	0.07932285714285714		-4.586040000000001	0.02460171428571429	0.50	14000	10	9
0.015	0.0072983836016859574	1.8897538954872026e-05	0.0001636214285714286	0.016934571428571427		-8.21391	0.01785707142857143	0.50	14000	10	4
0.035	0.08271522954142856	9.76143650576377e-05	0.063109	0.09971642857142857		-1.4061700000000001	0.08949928571428571	0.50	14000	10	4
0.045	0.08318379891142856	7.7658736509425e-05	0.0634075	0.09755642857142857		-0.05929109999999999	0.09509928571428572	0.50	14000	10	2
0.015	0.012290501925858989	0.00013138302367276842	8.4545e-05	0.044863		-3.51453	0.034233714285714284	0.50	14000	10	10
0.045	0.07692795229571428	0.00021922640989301763	0.029990142857142854	0.09531214285714285		-0.07442119999999999	0.09581928571428572	0.50	14000	10	3
0.025	0.07624465714142857	0.0001182008487704123	0.05647335714285714	0.0952057142857143		-1.89231	0.06530764285714286	0.50	14000	10	10
