s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.025	0.049226195741592926	8.123779829719092e-05	0.027784070796460177	0.06265176991150442		-0.0514215	0.05283893805309735	0.50	11300	10	5
0.015	0.05442547150088495	2.16122180529995e-05	0.04528230088495575	0.0633087610619469		-2.19789	0.06101530973451328	0.50	11300	10	5
0.035	0.05571124495044248	1.7736349889949354e-05	0.04738575221238939	0.0640020353982301		-1.6841	0.05448265486725664	0.50	11300	10	3
0.035	0.054410878523893806	2.6893179407316218e-05	0.04446	0.06486477876106195		-0.049680400000000006	0.05627805309734513	0.50	11300	10	10
0.005	0.027398421394445205	0.0006419294155926136	-0.00012123451327433628	0.06094920353982302		-6.2034	0.0061903805309734515	0.50	11300	10	7
0.025	0.052382838507964595	3.708810703119046e-05	0.039941946902654867	0.06308982300884955		-1.76528	0.05133628318584071	0.50	11300	10	9
0.045	0.05480768665663717	4.340841857695076e-05	0.04305088495575221	0.067269203539823		-0.04253	0.06556557522123894	0.50	11300	10	5
0.025	0.05797849425309734	8.712997691577322e-05	0.04245371681415929	0.08012929203539823		-0.057373	0.06611017699115043	0.50	11300	10	4
0.005	0.013622225119675105	0.0005382920961074056	-0.00035329911504424784	0.0658767256637168		-8.11823	0.006312176991150443	0.50	11300	10	8
0.005	0.01627530980285291	0.0010575904524554606	-0.0006215451327433629	0.09781769911504425		-6.08666	0.004417141592920354	0.50	11300	10	5
0.045	0.05595582437522124	1.6308590757876852e-05	0.04759380530973451	0.0635570796460177		-0.037442800000000005	0.056697787610619464	0.50	11300	10	7
0.015	0.054810982021238935	2.2384591910039016e-05	0.0455524778761062	0.06380185840707965		-2.20105	0.06125646017699115	0.50	11300	10	1
0.025	0.06714926761061947	0.0008327152215994086	0.042825309734513275	0.13934424778761062		-0.03366	0.05292725663716814	0.50	11300	10	2
0.035	0.057193437605309726	2.678822647628719e-05	0.04698557522123894	0.06752389380530974		-0.06198580000000001	0.06245628318584071	0.50	11300	10	8
0.015	0.05489129095575221	1.8246915288556936e-05	0.046134159292035404	0.06281654867256638		-0.042016500000000005	0.0621024778761062	0.50	11300	10	3
0.005	0.04745481826465264	0.0005874684393325717	0.0012427610619469027	0.07738159292035397		-5.64693	0.0057766017699115045	0.50	11300	10	2
0.025	0.05431644814690266	2.2072180632152856e-05	0.04488938053097345	0.06334230088495575		-1.7963799999999999	0.05366230088495575	0.50	11300	10	7
0.035	0.0540730291238938	2.221706531268172e-05	0.04306628318584071	0.06247044247787611		-0.0379728	0.05860238938053097	0.50	11300	10	2
0.045	0.05338717439646018	2.343708657074233e-05	0.04382477876106195	0.062328141592920355		-1.81018	0.05054681415929203	0.50	11300	10	3
0.005	0.05010600886546601	0.00027001477425643355	0.0005042522123893806	0.0668054867256637		-8.60068	0.052708761061946906	0.50	11300	10	3
0.035	0.05574933420530973	2.456661601337445e-05	0.04689398230088495	0.06611035398230089		-0.0465839	0.052140973451327434	0.50	11300	10	6
0.005	0.0754211663466541	0.009461242192594914	-0.00038407522123893803	0.27698141592920356		-6.0160800000000005	0.005292734513274336	0.50	11300	10	10
0.035	0.05544319319469026	3.455972814026532e-05	0.042330530973451325	0.06567982300884956		-0.0436913	0.06188858407079646	0.50	11300	10	5
0.015	0.07033185230375222	0.0017585021255304024	0.037317964601769914	0.17111061946902653		-4.4089599999999995	0.010451946902654868	0.50	11300	10	2
0.045	0.05391316947787611	2.3592495035870112e-05	0.04383796460176991	0.06302699115044248		-0.0464527	0.05114920353982301	0.50	11300	10	9
0.005	0.012011156157616285	0.0003017237860898707	0.0004964619469026548	0.052581504424778755		-5.68709	0.004019061946902654	0.50	11300	10	1
