s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.025	0.023332768634815315	0.0007182253954561123	-0.0015323079999999998	0.09131600000000001		-7.522360000000001	0.000444568	0.50	25000	10	4
0.045	0.07885007901840001	0.0003855645959568069	0.051088800000000004	0.1183116		-6.01694	0.1169208	0.50	25000	10	6
0.045	0.07656029628080001	0.00042454935590390474	0.0454696	0.1214972		-6.80248	0.0944928	0.50	25000	10	8
0.045	0.060276590489599984	0.0003137470782859407	0.02972288	0.09397760000000001		-6.667680000000001	0.09741319999999999	0.50	25000	10	7
0.035	0.03862932818365299	0.00039609903020900014	-0.0005405319999999999	0.0647112		-7.17437	0.049165600000000004	0.50	25000	10	4
0.035	0.028184150375999997	6.413401715418171e-05	0.0155156	0.0457612		-10.2687	0.0370372	0.50	25000	10	9
0.025	0.00870633099307272	0.0002850805260676458	-0.002417624	0.0556708		-10.0822	0.000889116	0.50	25000	10	7
0.015	0.007155535722850959	0.0006604063640961095	-0.00326048	0.10702120000000001		-7.54978	-0.0003991755999999999	0.50	25000	10	2
0.025	0.013749257877326334	0.0005746973846422378	-0.00217214	0.06821920000000001		-8.350010000000001	0.03879044	0.50	25000	10	6
0.035	0.055455552821778956	0.00020352842591678634	0.00033933	0.0769196		-6.943460000000001	0.078226	0.50	25000	10	8
0.005	0.002875374323408261	0.0006720811639477424	-0.0044706	0.014369960000000001		-1.12679	0.005781720000000001	0.50	25000	10	9
0.025	0.04835871388316269	0.0007018983681429158	-0.0007350920000000001	0.0851028		-7.977010000000001	0.0589848	0.50	25000	10	3
0.005	0.0003553178151524095	0.00013677444471963472	-0.00560616	0.0070478		-2.48707	8.12432e-05	0.50	25000	10	6
0.005	0.0021011094576624235	0.00022957216024451705	-0.00427772	0.02062436		-6.43345	0.001768264	0.50	25000	10	3
0.015	0.0007069469551606249	0.0001614264572413974	-0.005758640000000001	0.0085886		-1.6275	-0.0043644	0.50	25000	10	9
0.015	0.00032463520012192016	2.943513473327803e-05	-0.00456192	0.00759048		-6.2573	-0.000452892	0.50	25000	10	3
0.005	0.0002292209274016951	4.420336513852602e-05	-0.0047448	0.006655160000000001		-4.52525	-0.00362416	0.50	25000	10	2
0.025	0.02593043672551849	0.0004784359058028413	-0.0014179239999999999	0.057392		-9.50582	0.0490088	0.50	25000	10	2
0.015	0.0019221231464926335	0.00018308657467834422	-0.0040758	0.02091384		-6.20509	-0.00036654879999999996	0.50	25000	10	6
0.045	0.048744032556574765	0.0009620260907342626	-0.0006942879999999999	0.11179879999999999		-7.75731	0.0961032	0.50	25000	10	1
0.025	0.01946238617805869	0.00047822267504422813	-0.001482748	0.056994399999999994		-7.537380000000001	0.022400879999999998	0.50	25000	10	1
0.045	0.0378088362144	5.8770635745928234e-05	0.02284232	0.054617200000000005		-8.12854	0.0505564	0.50	25000	10	5
0.045	0.0553213945744	0.00019966188356498334	0.0362534	0.09003040000000001		-6.24423	0.0898912	0.50	25000	10	9
0.035	0.050920392561600004	0.00010978669955278218	0.0295328	0.0688712		-7.13882	0.0728652	0.50	25000	10	2
0.025	0.0319841170354551	0.0007709615579004201	-0.0013055	0.0835088		-9.20953	0.0560768	0.50	25000	10	8
0.035	0.051766505337599994	0.00010272564687010661	0.03403712	0.07015		-6.96956	0.0697604	0.50	25000	10	5
0.045	0.05633226750559999	9.718640899976047e-05	0.037925520000000004	0.075182		-6.1321699999999995	0.0816688	0.50	25000	10	4
0.045	0.0504468340304	0.00012245360369543917	0.02884728	0.0698548		-7.981310000000001	0.0698736	0.50	25000	10	3
0.035	0.059478581082400006	0.0003336720932423424	0.03659216	0.09909280000000001		-6.20062	0.0807732	0.50	25000	10	1
0.015	0.0023763910897467316	0.00029172318865386924	-0.004731	0.02660712		-5.48346	-0.0002583788	0.50	25000	10	10
0.045	0.0689911486168	0.0004591764309857923	0.026900040000000004	0.10975399999999999		-5.25115	0.11649520000000001	0.50	25000	10	2
0.035	0.03471810912017555	0.00022858540970972568	-0.000402152	0.057351599999999996		-8.417110000000001	0.0460976	0.50	25000	10	6
0.025	0.024964113184092543	0.00047509304406698503	-0.001342904	0.0613928		-8.50881	0.04624399999999999	0.50	25000	10	9
0.025	0.005919701699589557	0.00019397343600064177	-0.00229024	0.04574		-8.10294	0.03706348	0.50	25000	10	10
0.025	0.029744993711676215	0.0006693160924162145	-0.0014402920000000001	0.0729152		-7.25776	0.046764799999999995	0.50	25000	10	5
0.015	0.017913283283971817	0.0011343173614709642	-0.002702024	0.11166440000000001		-7.2752	-0.0014942080000000001	0.50	25000	10	8
0.015	0.011982586907855298	0.0006701549555240792	-0.003256648	0.09102360000000001		-6.5502199999999995	-0.000401852	0.50	25000	10	7
0.015	0.0006001319252519519	2.141727082342834e-05	-0.003561336	0.008972919999999999		-7.5239	-0.000455368	0.50	25000	10	4
0.035	0.053109146052	0.00010817138908846277	0.03421948	0.0766812		-6.597519999999999	0.0781444	0.50	25000	10	3
0.035	0.0664465900656	0.00022820673748091155	0.03540348	0.09222440000000001		-5.84762	0.08080760000000001	0.50	25000	10	10
0.005	0.0009702815248312799	0.00010822968214315359	-0.00468584	0.010760160000000001		-4.6853	0.002354392	0.50	25000	10	10
0.005	0.000651148280407912	6.385590869678361e-05	-0.004383	0.007766239999999999		-2.7756	-0.0002340912	0.50	25000	10	5
0.035	0.055784626436799996	0.00022482471363022798	0.03358812	0.08835879999999999		-6.33528	0.0679576	0.50	25000	10	7
0.005	0.0003537892565761375	4.534761672588595e-05	-0.00487568	0.00617804		-3.76439	-3.832244e-05	0.50	25000	10	8
0.005	0.0011878876432762481	0.00010231311902695337	-0.0041644	0.014105279999999998		-5.49242	6.9367200000000006e-06	0.50	25000	10	7
0.015	0.001167835285799056	9.903309363078718e-05	-0.00412428	0.013795520000000002		-9.050419999999999	-0.000469636	0.50	25000	10	1
0.015	0.005450484477904983	0.0003175720876577088	-0.0036481	0.070678		-6.938839999999999	0.001543852	0.50	25000	10	5
0.005	2.310624790807232e-06	1.8680903497881444e-05	-0.00504888	0.00497212		-2.78938	-0.0006274000000000001	0.50	25000	10	4
0.045	0.0648428991624	0.0005954721661614795	0.021792719999999998	0.10322719999999999		-5.8665400000000005	0.09177120000000001	0.50	25000	10	10
0.005	0.00030180215158067173	5.229240112687913e-05	-0.00520984	0.0080574		-3.23043	0.000288284	0.50	25000	10	1
