s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.045	0.05132962984000001	0.00011936354509391124	0.03600127272727273	0.07031418181818182		-29.9417	0.07135618181818182	0.50	55000	10	6
0.035	0.042464327141818185	6.011474000156339e-05	0.027084545454545455	0.05206636363636364		-34.7597	0.05156363636363637	0.50	55000	10	3
0.045	0.04875429563272728	6.561460001872597e-05	0.03855490909090909	0.06313309090909092		-30.4551	0.06354636363636364	0.50	55000	10	9
0.045	0.048290824999999996	3.9335376304354975e-05	0.037191272727272726	0.05900418181818182		-30.248	0.05989309090909091	0.50	55000	10	10
0.015	0.009835525187740182	9.737811633263568e-05	-0.0007965363636363637	0.030315090909090906		-33.8421	0.0001410649090909091	0.50	55000	10	8
0.045	0.0530305742	8.02025684377775e-05	0.04332672727272727	0.07379781818181819		-26.6786	0.0757689090909091	0.50	55000	10	8
0.025	0.04098034339636363	5.498409838879778e-05	0.024518	0.04848909090909091		-30.3378	0.04656054545454545	0.50	55000	10	4
0.005	0.0051389022711556325	0.00023793693426962627	-0.0022203454545454545	0.055511454545454544		-14.144	7.255781818181818e-05	0.50	55000	10	9
0.035	0.05202792424	0.00011596318009892553	0.03872963636363637	0.07580036363636364		-33.2724	0.058033272727272725	0.50	55000	10	10
0.015	0.052864250979418985	0.0014945429147190214	-0.00038138	0.11934981818181818		-26.8095	0.095512	0.50	55000	10	4
0.005	0.0026830143619783597	0.00038057909930050866	-0.0025494727272727274	0.02309836363636364		-13.9561	-0.0001918290909090909	0.50	55000	10	10
0.015	0.0008439878381765311	2.216653568667744e-05	-0.0017319654545454545	0.015090745454545456		-23.5086	0.0005777327272727272	0.50	55000	10	5
0.035	0.05065119049818181	0.00018461305023714626	0.031956	0.08318981818181817		-31.7745	0.06339727272727272	0.50	55000	10	5
0.025	0.03463083667454545	9.017869688943112e-05	0.015788763636363636	0.04968145454545454		-35.9729	0.039102363636363636	0.50	55000	10	10
0.015	0.02609023058676478	0.0008315490705725917	-0.001327998181818182	0.0777		-25.7793	0.06151690909090909	0.50	55000	10	1
0.035	0.04959971235272727	6.279483930759297e-05	0.038359454545454544	0.06400781818181818		-26.2193	0.06625345454545455	0.50	55000	10	2
0.025	0.03828248790545455	3.8953981042665315e-05	0.028289454545454548	0.048684		-29.9409	0.042928909090909094	0.50	55000	10	6
0.025	0.03973353289090909	7.052455030133943e-05	0.027756909090909093	0.057013272727272725		-33.8273	0.041016727272727274	0.50	55000	10	9
0.045	0.04530721416727273	6.0881422741432824e-05	0.034454	0.05905618181818182		-30.7439	0.05357618181818182	0.50	55000	10	2
0.045	0.054548472356363634	2.225319983304538e-05	0.045504363636363634	0.06224090909090909		-29.2373	0.06243781818181818	0.50	55000	10	4
0.005	0.0003186991300156377	2.087156193799756e-05	-0.0025457454545454545	0.004255581818181819		-8.87909	-6.74709090909091e-05	0.50	55000	10	6
0.025	0.04103482352727272	1.7239235278254513e-05	0.034572727272727276	0.049020909090909094		-31.0262	0.04521527272727273	0.50	55000	10	2
0.035	0.03925289157454545	5.762347359903293e-05	0.025561454545454547	0.05182490909090909		-34.9983	0.04954763636363636	0.50	55000	10	6
0.035	0.03611866454545455	0.0001008062521270252	0.021863636363636363	0.050724181818181814		-34.7162	0.046669272727272726	0.50	55000	10	8
0.045	0.052293036599999995	0.00019491650141220868	0.035945454545454544	0.08048563636363637		-30.7133	0.076246	0.50	55000	10	3
0.045	0.04449114883272727	7.215691004178189e-05	0.030104363636363637	0.05767090909090909		-33.2359	0.05809545454545455	0.50	55000	10	1
0.005	0.0012738406645352235	0.00017901861548865394	-0.003094309090909091	0.008799581818181818		-12.6153	0.00013637890909090907	0.50	55000	10	8
0.025	0.03723874144	3.9678249648671936e-05	0.02614327272727273	0.050260181818181815		-35.6994	0.04056381818181819	0.50	55000	10	3
0.035	0.04954874440727273	7.740938313525672e-05	0.03929454545454545	0.06953381818181818		-27.8679	0.0637150909090909	0.50	55000	10	1
0.025	0.05056884688363637	0.0001514087611379388	0.03169327272727273	0.07625963636363636		-33.7809	0.04549890909090909	0.50	55000	10	8
0.045	0.05718190941454546	0.0001912479969278221	0.028295636363636363	0.06962236363636364		-28.0714	0.06900527272727272	0.50	55000	10	5
0.005	-0.0009137106933346083	0.00015556614155186712	-0.01324530909090909	0.004795981818181818		-20.6026	0.00018687818181818182	0.50	55000	10	1
0.035	0.048699559294545454	8.95723706580712e-05	0.034655454545454545	0.06304527272727273		-30.8681	0.06138927272727272	0.50	55000	10	4
0.035	0.05050025794909091	0.00025202347784075664	0.029969272727272726	0.08182636363636363		-30.9702	0.056367818181818186	0.50	55000	10	9
0.015	0.04979403593775931	0.003626291917205364	-0.0010372472727272727	0.1615229090909091		-23.6344	0.15916527272727274	0.50	55000	10	2
0.005	0.0030508623138937405	0.0002194767737933887	-0.003279909090909091	0.06193054545454545		-12.2454	-2.3141454545454547e-05	0.50	55000	10	5
