s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.0015	0.001582217549976648	0.0002169619311325553	-0.004870159999999999	0.01416292		-6.13899	-0.000623136	0.50	25000	10	1
0.0005	-0.0002678944625870419	0.00010735473463950563	-0.00590668	0.0054039199999999996		-5.91094	-0.0003506776	0.50	25000	10	5
0.0015	-0.0005414364013444119	5.779391568476196e-05	-0.0072574399999999996	0.00417212		-4.28746	0.000816708	0.50	25000	10	9
0.0005	-0.000838276539554317	0.00017618557039861897	-0.0031178000000000004	0.0024596545454545456		-9.357389999999999	0.004256327272727272	0.50	55000	10	8
0.0005	2.833856141290546e-05	1.5398310583846294e-05	-0.003103	0.003242		-4.93335	4.836163636363637e-05	0.50	55000	10	3
0.0015	-0.0022081854430427766	0.0006397449544182848	-0.011506680000000002	0.005561559999999999		-8.15891	0.0001639848	0.50	25000	10	2
0.0005	-0.0004900149240189122	7.188547691449747e-05	-0.0062591999999999995	0.0046151199999999995		-8.41878	0.00033919040000000004	0.50	25000	10	6
0.0005	0.0008314926029999759	7.14658740796238e-05	-0.00465204	0.010114080000000001		-11.5829	0.0001653344	0.50	25000	10	1
0.0015	0.002234141557339839	0.000409001647408146	-0.00551496	0.01639996		-2.06344	-0.0031442320000000003	0.50	25000	10	7
0.0015	3.241595790086393e-05	4.9157247669507025e-05	-0.0052664800000000005	0.0055986000000000005		-6.78718	0.0028890039999999997	0.50	25000	10	6
0.0005	0.0016748702138407734	0.00020000969937010075	-0.0028538181818181818	0.012064836363636365		-6.07212	-5.145127272727273e-05	0.50	55000	10	1
0.0005	0.051370984912598595	0.014626326076155782	-0.0041364800000000005	0.3991864		-4.56805	0.00021363559999999998	0.50	25000	10	3
0.0005	0.00020155998721205754	2.8033783290291448e-05	-0.00432152	0.0055864800000000004		-6.06519	-0.02418284	0.50	25000	10	10
0.0005	-0.000917798148944768	0.00015187129632016888	-0.008641439999999998	0.00459772		-8.57001	6.38392e-05	0.50	25000	10	9
0.0005	0.0009155733422442559	0.00017361786122622053	-0.00505116	0.007534839999999999		-4.19358	-5.09848e-05	0.50	25000	10	2
0.0005	-0.00010411930987254867	1.5925975953363793e-05	-0.0024048363636363637	0.0024045454545454543		-6.36212	-0.00026040363636363635	0.50	55000	10	6
0.0005	0.004002370676065429	0.0006527374274022543	-0.0027843272727272727	0.08794854545454546		-1.90145	0.0007576654545454545	0.50	55000	10	7
0.0015	0.0025537789420569438	0.000703785380817822	-0.0051072	0.01380336		-4.865419999999999	0.000292768	0.50	25000	10	5
