s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.005	0.00017316001760706072	4.128145114419174e-05	-0.00498252	0.00513464		-2.3689	0.0003842504	0.50	25000	20	3
0.005	0.001166617298262228	7.957406821527716e-05	-0.00474824	0.02374024		-3.68895	0.00437344	0.50	25000	5	9
0.005	-0.00013602306166285923	2.5054620751859743e-05	-0.005508160000000001	0.004974119999999999		-4.71486	-0.000605316	0.50	25000	20	4
0.005	-0.00029889883983680413	1.788871951347275e-05	-0.006837560000000001	0.00407128		-4.4720699999999995	-6.0018e-05	0.50	25000	5	5
0.005	0.00016026935864677956	1.419707092438644e-05	-0.0024624545454545455	0.0027344545454545456		-5.56594	3.523618181818182e-05	0.50	55000	20	1
0.015	0.0004447521116706161	1.5445725108480874e-05	-0.00337418	0.00708312		-7.86618	-0.0002699688	0.50	25000	5	6
0.005	-3.375454181722098e-05	1.3128885369650202e-05	-0.00513044	0.00494304		-7.482589999999999	0.00023256079999999998	0.50	25000	20	5
0.005	0.0007182430446671573	2.531700340431018e-05	-0.0026487999999999998	0.019945818181818183		-2.79917	0.001990181818181818	0.50	55000	5	10
0.005	0.0005707276151479835	8.905787853347157e-05	-0.00470164	0.00620892		-2.97453	0.00011864360000000001	0.50	25000	5	3
0.015	0.025562423803909523	0.0010412590084826513	-0.002121732	0.09564360000000001		-10.6252	0.067606	0.50	25000	20	8
0.005	-3.553795885864332e-05	1.6859378007386635e-05	-0.00589372	0.00486652		-5.93839	0.000751212	0.50	25000	5	4
0.005	0.00016992440471891185	6.674612404841172e-05	-0.00645304	0.005457919999999999		-4.9746	0.0002423264	0.50	25000	20	1
0.005	0.0011279454767438024	8.245943762646235e-05	-0.00495524	0.018939960000000002		-3.3025800000000003	0.0029960919999999997	0.50	25000	5	6
0.005	4.602374633125585e-05	1.0100208239551987e-05	-0.004242200000000001	0.00464384		-5.12961	-0.0001003792	0.50	25000	5	7
0.015	0.01037800397663948	0.0006997480462027368	-0.002890108	0.0925968		-7.70423	-0.00014554120000000002	0.50	25000	20	9
0.015	0.013675733923761448	0.0005307121804843923	-0.001891656	0.068376		-6.58257	0.0440976	0.50	25000	5	9
0.005	0.00048682929479301594	3.9995768853473095e-05	-0.004292440000000001	0.007138760000000001		-7.47567	-0.000829672	0.50	25000	20	7
0.005	0.0009139288887024363	2.0564960114954895e-05	-0.002088927272727273	0.01865618181818182		-2.43102	-0.0006318599999999999	0.50	55000	5	2
0.005	-0.00022119931757543852	5.392670202219658e-05	-0.00562064	0.0048258		-5.8137	-0.0001328492	0.50	25000	20	2
0.005	-6.578083180017241e-05	9.063975578778265e-06	-0.002476127272727273	0.0024047272727272724		-2.5019099999999996	0.0003078472727272727	0.50	55000	5	9
0.005	-0.0011979459375725118	0.00015630753249624817	-0.0160808	0.00544736		-4.45715	0.001260212	0.50	25000	20	6
0.015	7.392484841917554e-05	1.1465872162411557e-05	-0.00456664	0.00505132		-9.8301	-0.00059664	0.50	25000	20	10
0.015	0.0034051613395670575	0.0002672625513419407	-0.003650808	0.055496000000000004		-8.34635	0.000514696	0.50	25000	20	7
