s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.015	0.0005725106193840191	5.29297622256357e-05	-0.00440592	0.007776560000000001		-4.25915	-2.513528e-05	0.50	25000	10	9
0.025	0.0392341879504	0.00011155782649547182	0.02167312	0.0622592		-8.185260000000001	0.050101599999999996	0.50	25000	10	6
0.015	-49.356609889051384	6164.298865680381	-217.44181818181818	0.10920181818181819		-5.03686	8.01990909090909e-05	0.50	55000	10	6
0.025	0.089718760968	0.00034246966758468906	0.057896	0.1241432		-7.9046899999999996	0.062822	0.50	25000	10	7
0.025	0.052972624378181815	0.00012988974775600157	0.03545981818181818	0.0725570909090909		-11.0394	0.037372363636363634	0.50	55000	10	1
0.025	0.052088619714202034	0.0007486345799603276	-0.0004617054545454545	0.08156018181818182		-10.4662	0.06066890909090909	0.50	55000	10	2
0.005	0.0008742434499512881	0.00012179761587658577	-0.00427084	0.0074922		-1.2131	0.0002165308	0.50	25000	10	4
0.015	0.01723301207208992	0.0006499785029149098	-0.0009565163636363637	0.0752129090909091		-7.9758	0.051683454545454546	0.50	55000	10	7
0.025	-19.40636243237818	1969.0753400003011	-146.24054545454544	0.09778836363636363		-10.7939	0.056621454545454544	0.50	55000	10	4
0.005	0.00026007348919210765	2.1562360821930397e-05	-0.0021687636363636365	0.0037669272727272724		-4.3002	-0.00037386363636363637	0.50	55000	10	9
0.015	0.0692774609152514	0.001833071865588117	-0.0005920527272727272	0.11170727272727272		-7.6287899999999995	0.07060345454545455	0.50	55000	10	4
0.025	0.0781801279344	0.00044710308779144443	0.0419224	0.1257064		-8.88879	0.0598828	0.50	25000	10	9
0.025	0.093776524456	0.00038463093448805487	0.055348	0.1268972		-9.66413	0.0633608	0.50	25000	10	2
0.025	0.04326655448826693	0.0005156222325785052	-5.0255599999999994e-05	0.0758468		-11.4106	0.03212572	0.50	25000	10	8
0.025	0.08012016897454546	0.0008810599827342627	0.03313381818181818	0.14106654545454544		-8.206339999999999	0.061884545454545456	0.50	55000	10	5
0.005	0.004571322057667053	0.0010949916375372945	-0.002230090909090909	0.017068436363636363		-1.74479	5.8700727272727274e-05	0.50	55000	10	4
0.015	0.016411856827677807	0.000646347108037493	-0.0012904527272727274	0.06863090909090909		-8.82452	0.022135454545454545	0.50	55000	10	9
0.015	0.0002597395351391048	1.3072273557947329e-05	-0.0024951636363636366	0.003977218181818182		-5.11453	-0.00021377999999999998	0.50	55000	10	2
0.015	0.006525088827214169	0.0010697867502198794	-0.00483528	0.14445639999999998		-5.39271	0.00029841	0.50	25000	10	6
0.015	0.00012153440240914499	5.3990665988774325e-05	-0.00487176	0.00587964		-1.52233	-0.0007673399999999999	0.50	25000	10	8
0.005	0.00015989209443475027	3.332529358184494e-05	-0.005026319999999999	0.0056764400000000005		-1.03052	0.000282394	0.50	25000	10	3
0.025	0.07877679338640001	0.0006592005968819128	0.03613548	0.12354		-7.06378	0.06848800000000001	0.50	25000	10	1
0.015	0.0022333977690410546	0.00016311153036074758	-0.00427544	0.0408604		-6.77262	0.09875	0.50	25000	10	2
0.025	0.060636495552727286	0.00015800697577045	0.042328363636363636	0.08348599999999999		-10.8516	0.045202	0.50	55000	10	7
0.005	0.00027759925256812165	7.965951235064996e-05	-0.00528684	0.0064826		-1.06805	0.001313028	0.50	25000	10	7
0.015	8.834387718856796e-05	0.00011700072566594358	-0.00477948	0.00797004		-3.33256	-0.0011775400000000001	0.50	25000	10	4
0.005	-28.46956220117839	4486.269294912548	-215.3309090909091	0.004466290909090909		-4.6609300000000005	8.633072727272728e-05	0.50	55000	10	5
0.015	0.026556591278297036	0.002508240532972293	-0.0015320854545454545	0.147218		-9.13906	-0.0003910145454545455	0.50	55000	10	8
0.005	0.0003221772162120727	2.0272694642857133e-05	-0.0020524727272727273	0.0033848181818181815		-4.44456	2.346309090909091e-05	0.50	55000	10	2
0.025	0.06792945991999999	0.0004514382569934406	0.0428116	0.12218879999999999		-9.2785	0.047624	0.50	25000	10	4
0.015	0.053437161995921606	0.0012431585868924121	-0.00035414727272727275	0.11617072727272727		-7.368119999999999	0.00010846072727272727	0.50	55000	10	1
0.005	0.000218311384479708	3.422510853729801e-05	-0.00429544	0.006570319999999999		-4.4855599999999995	-9.75184e-06	0.50	25000	10	2
0.005	0.00043517626854877107	4.481034622881169e-05	-0.00415548	0.00708924		-2.60625	-0.00048542	0.50	25000	10	9
0.015	0.027675748672157007	0.001182416930240928	-0.0014866927272727272	0.08528690909090908		-8.28471	0.05228309090909091	0.50	55000	10	5
0.005	-0.0008038080350402982	0.00016214022408557097	-0.003660563636363636	0.0036302545454545455		-1.37364	0.00018798727272727273	0.50	55000	10	3
0.005	0.0008766801258633224	7.441693033220929e-05	-0.00445952	0.01201096		-2.32903	5.1958e-05	0.50	25000	10	8
0.005	0.0011300294505195221	7.910479683797502e-05	-0.0019295636363636365	0.010637327272727273		-6.67095	-0.00024828000000000003	0.50	55000	10	6
0.015	0.03082442327554965	0.0016636825105888092	-0.002078424	0.115876		-8.74134	-0.000595232	0.50	25000	10	10
0.025	0.06957498184639999	0.00031295668177983954	0.03800884	0.11039040000000001		-8.74515	0.041436	0.50	25000	10	5
0.005	0.00057633255419064	6.900930946200319e-05	-0.00472048	0.0081834		-1.12655	-0.0017469839999999998	0.50	25000	10	1
0.025	0.07428425682181818	0.00018494181201734932	0.047055454545454546	0.10037563636363636		-10.9049	0.06533945454545455	0.50	55000	10	8
0.025	0.08521695746909091	0.0002023693070884188	0.04852636363636363	0.10315163636363636		-8.98668	0.08737472727272727	0.50	55000	10	9
0.025	0.04714672479272728	0.00010816700727611425	0.02828363636363636	0.06625418181818182		-8.50026	0.047702	0.50	55000	10	10
0.015	0.02411418157204865	0.002353340069204375	-0.003555144	0.1438712		-5.59808	0.00556252	0.50	25000	10	3
0.015	0.027801345502034683	0.0014345481069104249	-0.002783392	0.105874		-6.532780000000001	-0.0003628388	0.50	25000	10	5
0.015	0.019624296888448252	0.001580079396279076	-0.0031848719999999996	0.1287044		-7.9755	0.13277719999999998	0.50	25000	10	1
0.005	0.00022703722264029674	7.724572097086842e-06	-0.001956290909090909	0.0035859999999999998		-6.09593	-5.911454545454545e-05	0.50	55000	10	7
